Company ID,Company Name,Parent Company,Sector,Subsector,Region Focus,Country,HQ City,Asset Type,Compliance Intensity,Priority (1-5),Discovery Stage,Hypothesis Fit,Target Functions,Entry Path,Warm Intro Available (Y/N),Website,Notes
1,ExxonMobil Canada,ExxonMobil,Oil & Gas Operator,Upstream,North America,Canada,Calgary,Offshore,High,1,Targeted,"H1,H2,H5","Maintenance, Reliability, Supply Chain",LinkedIn,N,exxonmobil.ca,Offshore operations in Atlantic Canada
2,BP Canada Energy Group,BP,Oil & Gas Operator,Upstream,North America,Canada,Calgary,Offshore,High,1,Targeted,"H1,H2,H5","Maintenance, QA, Compliance",LinkedIn,N,bp.com,Major offshore operator
3,Equinor Canada,Equinor,Oil & Gas Operator,Upstream,North America,Canada,St. John's,Offshore,High,1,Targeted,"H1,H2,H3,H5","Reliability, Engineering, Digital",LinkedIn,N,equinor.ca,Hebron platform operator
4,Cenovus Energy,Cenovus Energy,Oil & Gas Operator,Oil Sands,North America,Canada,Calgary,Plant,High,1,Targeted,"H1,H2,H4","Maintenance, Supply Chain, Engineering",LinkedIn,N,cenovus.com,Remote oil sands operations
5,Suncor Energy,Suncor Energy,Oil & Gas Operator,Oil Sands,North America,Canada,Calgary,Plant,High,1,Targeted,"H1,H2,H4","Reliability, Maintenance, Compliance",LinkedIn,N,suncor.com,Major oil sands producer
6,Canadian Natural Resources (CNRL),CNRL,Oil & Gas Operator,Oil Sands,North America,Canada,Calgary,Plant,High,1,Targeted,"H1,H2,H4","Maintenance, Engineering, Supply Chain",LinkedIn,N,cnrl.com,Largest Canadian oil producer
7,Imperial Oil,ExxonMobil,Oil & Gas Operator,Oil Sands,North America,Canada,Calgary,Plant,High,1,Targeted,"H1,H2,H4","Reliability, QA, Compliance",LinkedIn,N,imperialoil.ca,Kearl oil sands project
8,TC Energy,TC Energy,Oil & Gas Services,Midstream,North America,Canada,Calgary,Plant,High,2,Targeted,"H1,H4","Maintenance, Engineering, Compliance",LinkedIn,N,tcenergy.com,Pipeline infrastructure
9,Enbridge,Enbridge,Oil & Gas Services,Midstream,North America,Canada,Calgary,Plant,High,2,Targeted,"H1,H4","Reliability, Maintenance, Engineering",LinkedIn,N,enbridge.com,Pipeline and terminal operations
10,Irving Oil,Irving Oil,Oil & Gas Operator,Downstream,North America,Canada,Saint John,Plant,High,2,Targeted,"H1,H2,H4","Maintenance, Supply Chain, QA",LinkedIn,N,irvingoil.com,Refinery operations
11,Irving Shipbuilding,Irving Shipbuilding,Shipbuilding,Naval,North America,Canada,Halifax,Yard,High,1,Targeted,"H2,H3,H5,H6","QA, Compliance, Engineering, Supply Chain",LinkedIn,N,irvingshipbuilding.com,Royal Canadian Navy contractor
12,Seaspan (Vancouver Shipyards),Seaspan,Shipbuilding,Naval,North America,Canada,Vancouver,Yard,High,1,Targeted,"H2,H3,H5,H6","QA, Compliance, Engineering, Digital",LinkedIn,N,seaspan.com,National Shipbuilding Strategy
13,Chantier Davie,Chantier Davie,Shipbuilding,Naval,North America,Canada,Lévis,Yard,High,1,Targeted,"H2,H3,H5,H6","Engineering, QA, Supply Chain",LinkedIn,N,davie.ca,Icebreaker and naval vessels
14,Babcock Canada,Babcock International,Defense,Naval MRO,North America,Canada,Victoria,Yard,High,2,Targeted,"H2,H3,H5","Maintenance, Engineering, Compliance",LinkedIn,N,babcockinternational.com,Submarine maintenance
15,Canadian Coast Guard,Government of Canada,Defense,Fleet MRO,North America,Canada,Ottawa,Fleet,High,2,Targeted,"H1,H2,H5","Maintenance, Supply Chain, Engineering",LinkedIn,N,ccg-gcc.gc.ca,Government fleet operations
16,Teck Resources,Teck Resources,Mining,Copper/Coal/Zinc,North America,Canada,Vancouver,Mine,High,1,Targeted,"H1,H2,H4,H7","Maintenance, Reliability, Engineering",LinkedIn,N,teck.com,Remote mine sites
17,Barrick,Barrick Gold,Mining,Gold,North America,Canada,Toronto,Mine,High,1,Targeted,"H1,H2,H4,H7","Maintenance, Supply Chain, Reliability",LinkedIn,N,barrick.com,Global gold producer
18,Agnico Eagle,Agnico Eagle,Mining,Gold,North America,Canada,Toronto,Mine,High,1,Targeted,"H1,H2,H4,H7","Reliability, Maintenance, Engineering",LinkedIn,N,agnicoeagle.com,Northern mine operations
19,Kinross,Kinross Gold,Mining,Gold,North America,Canada,Toronto,Mine,Med,2,Targeted,"H1,H2,H4","Maintenance, Supply Chain",LinkedIn,N,kinross.com,International operations
20,First Quantum Minerals,First Quantum,Mining,Copper,North America,Canada,Vancouver,Mine,High,1,Targeted,"H1,H2,H4,H7","Reliability, Engineering, Supply Chain",LinkedIn,N,first-quantum.com,Large-scale copper mines
21,Lundin Mining,Lundin Mining,Mining,Copper/Zinc,North America,Canada,Toronto,Mine,Med,2,Targeted,"H1,H2,H4","Maintenance, Engineering",LinkedIn,N,lundinmining.com,Base metals producer
22,Hudbay Minerals,Hudbay Minerals,Mining,Copper/Zinc/Gold,North America,Canada,Toronto,Mine,Med,2,Targeted,"H1,H2,H4","Reliability, Maintenance",LinkedIn,N,hudbayminerals.com,Integrated mining company
23,B2Gold,B2Gold,Mining,Gold,North America,Canada,Vancouver,Mine,Med,2,Targeted,"H1,H2,H4","Maintenance, Supply Chain",LinkedIn,N,b2gold.com,International gold producer
24,Nutrien,Nutrien,Mining,Potash,North America,Canada,Saskatoon,Mine,High,2,Targeted,"H1,H2,H4","Maintenance, Engineering, Reliability",LinkedIn,N,nutrien.com,Potash and fertilizer
25,Vale Base Metals (Canada),Vale,Mining,Nickel,North America,Canada,Sudbury,Mine,High,1,Targeted,"H1,H2,H4,H7","Reliability, Maintenance, Engineering",LinkedIn,N,vale.com,Sudbury nickel operations
26,Saudi Aramco,Saudi Aramco,Oil & Gas Operator,Upstream,Middle East,Saudi Arabia,Dhahran,Offshore,High,1,Targeted,"H1,H2,H3,H5","Maintenance, Reliability, Digital",Conference,N,aramco.com,Largest oil producer globally
27,ADNOC,ADNOC,Oil & Gas Operator,Upstream,Middle East,UAE,Abu Dhabi,Offshore,High,1,Targeted,"H1,H2,H3,H5","Reliability, Engineering, Digital",Conference,N,adnoc.ae,UAE national oil company
28,QatarEnergy,QatarEnergy,Oil & Gas Operator,Upstream,Middle East,Qatar,Doha,Offshore,High,1,Targeted,"H1,H2,H5","Maintenance, Reliability, Compliance",Conference,N,qatarenergy.qa,LNG and offshore operations
29,Kuwait Petroleum (KPC),KPC,Oil & Gas Operator,Upstream,Middle East,Kuwait,Kuwait City,Offshore,High,2,Targeted,"H1,H2,H5","Maintenance, Engineering",Conference,N,kpc.com.kw,National oil company
30,Petrobras,Petrobras,Oil & Gas Operator,Upstream,South America,Brazil,Rio de Janeiro,Offshore,High,1,Targeted,"H1,H2,H3,H5","Reliability, Maintenance, Digital",Conference,N,petrobras.com.br,Deep water offshore leader
31,ExxonMobil,ExxonMobil,Oil & Gas Operator,Upstream,Global,USA,Houston,Offshore,High,1,Targeted,"H1,H2,H3,H5","Maintenance, Reliability, Engineering",LinkedIn,N,exxonmobil.com,Global supermajor
32,Chevron,Chevron,Oil & Gas Operator,Upstream,Global,USA,San Ramon,Offshore,High,1,Targeted,"H1,H2,H3,H5","Reliability, Digital, Engineering",LinkedIn,N,chevron.com,Global supermajor
33,Shell,Shell,Oil & Gas Operator,Upstream,Global,Netherlands,The Hague,Offshore,High,1,Targeted,"H1,H2,H3,H5","Maintenance, Digital, Reliability",Conference,N,shell.com,Global supermajor
34,BP,BP,Oil & Gas Operator,Upstream,Global,UK,London,Offshore,High,1,Targeted,"H1,H2,H3,H5","Reliability, Engineering, Digital",Conference,N,bp.com,Global supermajor
35,TotalEnergies,TotalEnergies,Oil & Gas Operator,Upstream,Global,France,Paris,Offshore,High,1,Targeted,"H1,H2,H3,H5","Maintenance, Reliability, Digital",Conference,N,totalenergies.com,Global supermajor
36,Equinor,Equinor,Oil & Gas Operator,Upstream,Europe,Norway,Stavanger,Offshore,High,1,Targeted,"H1,H2,H3,H5","Reliability, Digital, Engineering",Conference,N,equinor.com,Norwegian offshore leader
37,Eni,Eni,Oil & Gas Operator,Upstream,Europe,Italy,Rome,Offshore,High,2,Targeted,"H1,H2,H5","Maintenance, Reliability",Conference,N,eni.com,Italian supermajor
38,ConocoPhillips,ConocoPhillips,Oil & Gas Operator,Upstream,Global,USA,Houston,Offshore,High,1,Targeted,"H1,H2,H5","Reliability, Maintenance, Engineering",LinkedIn,N,conocophillips.com,Independent E&P
39,Occidental (Oxy),Occidental Petroleum,Oil & Gas Operator,Upstream,Global,USA,Houston,Offshore,Med,2,Targeted,"H1,H2","Maintenance, Engineering",LinkedIn,N,oxy.com,US independent
40,Repsol,Repsol,Oil & Gas Operator,Upstream,Europe,Spain,Madrid,Offshore,Med,2,Targeted,"H1,H2,H5","Maintenance, Reliability",Conference,N,repsol.com,Spanish operator
41,OMV,OMV,Oil & Gas Operator,Upstream,Europe,Austria,Vienna,Offshore,Med,3,Targeted,"H1,H2",Maintenance,LinkedIn,N,omv.com,Austrian operator
42,Galp,Galp Energia,Oil & Gas Operator,Upstream,Europe,Portugal,Lisbon,Offshore,Med,3,Targeted,"H1,H2",Maintenance,LinkedIn,N,galp.com,Portuguese operator
43,Petronas,Petronas,Oil & Gas Operator,Upstream,Asia,Malaysia,Kuala Lumpur,Offshore,High,2,Targeted,"H1,H2,H5","Reliability, Maintenance",Conference,N,petronas.com,Malaysian national oil company
44,Pertamina,Pertamina,Oil & Gas Operator,Upstream,Asia,Indonesia,Jakarta,Offshore,Med,3,Targeted,"H1,H2",Maintenance,Conference,N,pertamina.com,Indonesian national oil company
